Product order name;product_order_date;comment;factory;status;create_date;order_number;order_date;product_name;qty
ПКНФ-000001;18.02.2026;7726.1 - ВНС в корпусе (Основное);Васюринская;В работе;18.02.2026;ПКНФ-00933 ;15.12.2025;Насосная станция повышения давления в корпусе КСС-МЧ-3 CDM15-6-СХ-ГА8-УХЛ1;1
ПКНФ-000003;13.02.2026;7726.2 - ПНС в корпусе (основное);Васюринская;В работе;13.02.2026;ПКНФ-00933 ;15.12.2025;Насосная станция пожаротушения в корпусе КСС-П-2 NIS125-100-200-37-АВР-2ЭЗ-РК-УХЛ;1
ПКНФ-000004;13.02.2026;7726.2У - Установка пожаротушения;Новороссийская ( внс и пнс);В резерв после прихода;13.02.2026;ПКНФ-00933 ;15.12.2025;7726.2У - Установка пожаротушения;1
ПКНФ-000010;15.01.2025;5415.3 - ВНС корпус - Изделие (списан бак з0227, подводка из 5963);Васюринская;В работе;15.01.2025;ПКНФ-00389;13.12.2024;Насосная станция повышения давления в корпусе базе установки повышения давления КСС-МЧ-2 CDM5-4+СХ+Г;1
ПКНФ-000010;16.02.2026;6176.3ШУ ПНС+ кабель для отправки со станцией + материал для раксключения бочки на Васюринской;Тихорецкая ( только для шу с 0;В резерв после прихода;16.02.2026;ПКНФ-00980 ;26.12.2025;6176.3 КСС-ШУПФС-Д-3-3- 18.5К+2ЭЗ+АВР;1
ПКНФ-000011;16.02.2026;5882.2ШУ ПНС + расключение станции;Тихорецкая ( только для шу с 0;В резерв после прихода;16.02.2026;ПКНФ-00970 ;22.12.2025;5882.2ШУ КСС-ШУПФС-С-2-3- 30К+АВР;1
ПКНФ-000014;16.02.2026;7726.2ШУ ПНС + расключение станции;Тихорецкая ( только для шу с 0;В резерв после прихода;16.02.2026;ПКНФ-00933 ;15.12.2025;7726.2ШУ КСС-ШУПФС-С-2-3- 37К+АВР+2ЭЗ;1
ПКНФ-000025;22.01.2025;5415.4 - в корпусе - Изделие;Васюринская;В работе;22.01.2025;ПКНФ-00389;13.12.2024;Насосная станция пожаротушения в корпусе установки пожаротушения КСС-П-2 CDM20-2+АВР+2ЭЗ;1
ПКНФ-000069;20.01.2026;7835.1 - ЕНП 2шт.;Васюринская;В работе;20.01.2026;ПКНФ-00942 ;04.12.2025;Емкость накопительная питьевая, произведенная из стеклопластика КСС-ЕНП-5, D=1200 мм, L=4500 мм;2
ПКНФ-000070;09.02.2026;6228.1 - КНС (Основное)+ склад резерв 240тыс;Васюринская;В работе;09.02.2026;ПКНФ-00940 ;03.12.2025;Корпус из армированного стеклопластика для КСС-КНС-1600 -6370;1
ПКНФ-000071;18.02.2026;6228.2 - КНС (Основное) упм в КНС, насосы отдельно!;Васюринская;В резерв после прихода;18.02.2026;ПКНФ-00940 ;03.12.2025;Корпус из армированного стеклопластика для КСС-КНС-3800-6340;1
ПКНФ-000072;09.02.2026;6176.4 - ЛОС (Основное);Васюринская;В работе;09.02.2026;ПКНФ-00980 ;26.12.2025;Модульная установка локальных очистных сооруженийКСС-ЛОС-2 камер 3 (ПО+МБО+СФ)  D=1200 мм, L=4000 мм;1
ПКНФ-000073;22.01.2026;6228.1 - Рама под УПМ Балка под крышку Стойки для взмучивателя, Конусное дно;Васюринская;В работе;22.01.2026;ПКНФ-00940 ;03.12.2025;6228.1 - Рама под УПМ Балка под крышку Стойки для взмучивателя, Конусное дно;1
ПКНФ-000105;30.01.2026;579 - Рама под УПМ Балка под крышку Направляющ. насосов;Васюринская;В работе;30.01.2026;ПКНФ-00952 ;08.12.2025;579 - Рама под УПМ Балка под крышку Направляющ. насосов;1
